PROMOTOR-GESTOR;ACCES;TIPUS VELOCITAT;TIPUS CONNEXIÓ;LATITUD;LONGITUD;DESIGNACIÓ-DESCRIPTIVA;POTENCIA;TIPUS DE CORRENT;INDENTIFICADOR;ADREÇA;PROVINCIA;CODIPROV;MUNICIPI;NPLACES ESTACIÓ;TIPUS VEHICLE;Columna amb georeferència
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;Schuko;41379936;2189115;B:SM 59 - Barceloneta Centre;;;BAMSA011;Carrer Escuder, 1;Barcelona;8;Barcelona;1;cotxe;POINT (2.189115 41.379936)
TABASA;APARCAMENT PUBLIC;NORMAL;Schuko;414812;20726;TABASA Estació FGC VOLPELLERES;;;;Plaça de l'estació;Barcelona;8;Sant Cugat del Valles;1;cotxe;POINT (2.0726 41.4812)
TESLA;APARCAMENT HOTEL;semiRAPID;TESLA;41349032;166672;TESLA Destinació - Bodegas Torres Visitors Centre (22kW);22;AC;;Finca El Maset, S/N;Barcelona;8;Pachs del Penedès;2;cotxe;POINT (1.66672 41.349032)
Area Metropolitana de Barcelona;VIA PUBLICA (AMB);RAPID i NORMAL;CCS Combo2+ChadeMO+MENNEKES.M+shucko;4145496;222666;EdRR Montigalà (DC50kW AC43kW) AMB5;50;AC-DC;AMB5;Carrer d'Anna Tugas, 26;Barcelona;8;Badalona;4;cotxe i moto;POINT (2.22666 41.45496)
CC Anec Blau;APARCAMENT CC;NORMAL;Schuko;41283698;198725;CC Anec Blau;;;;Rotonda Can Rabadà, 16;Barcelona;8;Castelldefels;1;cotxe i moto;POINT (1.98725 41.283698)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;414053;21429;B:SM 22 - Mitre Putxet;;;BSM018;Ronda General Mitre, 203;Barcelona;8;Barcelona;2;cotxe;POINT (2.1429 41.4053)
CC Sant Cugat;APARCAMENT CC;semiRAPID i NORMAL;MENNEKES.F+Schuko;414831;205401;EdRsR CC Sant Cugat (AC22kW);22;AC;;Avinguda de la Via Augusta, 2-14;Barcelona;8;Sant Cugat del Vallès;4;cotxe i moto;POINT (2.05401 41.4831)
Aparcament Cal Llobet-Selba;APARCAMENT PUBLIC;NORMAL;Schuko;4,17819E+15;1,83678E+15;Aparcament Cal Llobet-Selba;;;;Carrer Roger de Flor, 11;Barcelona;8;Santpedor;1;cotxe i moto;POINT (1.836778074502945 41.78188554764706)
Gintra-Ap Plaça de Cuba;APARCAMENT PUBLIC;NORMAL;Schuko;41537302431;2440399469;Gintra-Ap Plaça de Cuba;;;;Carrer Cuba, 40;Barcelona;8;Mataró;1;;POINT (2.440399469 41.537302431)
GAICU;VIA PUBLICA;semiRAPID i NORMAL;MENNEKES.F+Schuko;41433956;2192101;(eDUM) Sant Adrià - Pl. Can Fabra (7.4kW);75;AC;QC002;Carrer de Sant Adrià, 21;Barcelona;8;Barcelona;2;mercaderies;POINT (2.192101 41.43395600000001)
;;semiRAPID;Schuko i MENNEKES.F;4160831;63275;CC PlusFresc Lleida (7.5kW);75;AC;;Avinguda de Barcelona, 65;Lleida;25;Lleida;2;;POINT (0.63275 41.60831)
Institut Català d'Energia i Ajuntament de Montblanc;;RAPID;CCS Combo2+ChadeMO+MENNEKES.M i 2xShucko+2MENNEKES.F;4137739;116358;EdRR Montblanc (DC50kW AC43kW+AC22kW) PIRVEC-14;50;AC-DC;PIRVEC-14;Muralla de Santa Tecla, 51;Tarragona;43;Montblanc;4;;POINT (1.16358 41.37739)
IBIL;ESTACIÓ DE SERVEI (IBIL);RAPID;CCS Combo2+ChadeMO+MENNEKES.M;4152801;18809321;IBIL-ES REPSOL A2 BurgerKing (DC50kW AC43kW);50;AC-DC;;Carretera C-1414, Autovia A2 km 581,5, sortida 581 dir.TGN o 582B dir.BCN;Barcelona;8;Esparreguera;1;cotxe;POINT (1.8809321000000003 41.52801)
Abertis-saba;VIA PUBLICA;NORMAL;Schuko;41340265;2125109;Seu zona franca Abertis;;;;Carrer numero Un;Barcelona;8;Barcelona;2;cotxe i moto;POINT (2.125109 41.340265)
GRAMEPARK;APARCAMENT CC;NORMAL;Schuko;41451025;2209483;Aparcament GRAMEPARK;;;;Rambla de Sant Sebastià,2;Barcelona;8;Santa Coloma de Gramenet;9;cotxe i moto;POINT (2.209483 41.45102500000001)
GAICU;VIA PUBLICA;semiRAPID;MENNEKES.F;41375444;2189039;(eTAXI) Barceloneta - Joan de Borbó (7.4kW);75;AC;QC003;Passeig Joan de Borbó - Carrer de la Drassana, 1;Barcelona;8;Barcelona;2;taxi;POINT (2.189039 41.375444)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;Schuko;41391087;2147544;B:SM 53 - Londres;;;BAMSA015;Carrer de Londres, 55;Barcelona;8;Barcelona;1;cotxe;POINT (2.147544 41.391087)
;;semiRAPID;2xMENNEKES.F;4174978;190322;EdRsR Navarcles (AC22kW);22;AC;;Carrer Pau Claris 14;Barcelona;8;Navarcles;;;POINT (1.9032200000000001 41.74978)
REGESA;APARCAMENT PUBLIC;NORMAL;Schuko;41420441;2180899;75 REGESA Maragall;;;;Plaça de Maragall, 1;Barcelona;8;Barcelona;4;cotxe;POINT (2.180899 41.420441000000004)
ALBET i NOYA vinyes;COMERÇ;semiRAPID i NORMAL;MENNEKES.F+Schuko;41384744;1806303;Albet i Noya;;;;Can Vendrell, s/n, Sant Pau d'Ordal;Barcelona;8;Subirats;2;cotxe i moto;POINT (1.8063030000000002 41.384744)
CEPSA;ESTACIÓ DE SERVEI;RAPID i semiRAPID;CCS Combo2+ChadeMO+MENNEKES.M+2xMENNEKES.F+2xSchucko;4108598;103674;EdRR CEPSA Cambrils (DC50kW AC43kW+AC22kW);50;AC-DC;;Carretera Mombrió del Camp, km 2,2;Tarragona;17;Cambrils;2;;POINT (1.03674 41.08598)
BIMSA;VIA PUBLICA;NORMAL;Schuko;41393659;2148857;Lateral-Mar Diagonal (Casanova-Muntaner) 1;;;LC041;Avinguda Diagonal, 449;Barcelona;8;Barcelona;2;moto;POINT (2.148857 41.393659)
Ajuntament de  El Masnou;VIA PUBLICA;FORA DE SERVEI;Schuko;41477990439;2304726294;Ajuntament de El Masnou 1;;;;Passeig Joan Carles I, 12;Barcelona;8;El Masnou;1;;POINT (2.304726294 41.477990439)
TESLA;APARCAMENT HOTEL;semiRAPID;TESLA;41186289;1159963;TESLA Destinació - Hotel Monument Mas Passamaner (22kW);22;AC;;Cami de la Serra, 52;Tarragona;43;La Selva del Camp;2;cotxe;POINT (1.159963 41.186289)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;4139846;2186665;B:SM 29 - Plaça de les Arts - TNC;;;BSM032;Carrer de Padilla, 159;Barcelona;8;Barcelona;6;cotxe i moto;POINT (2.186665 41.39846)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;41392246;2128751;B:SM 9 - Cotxeres de Sarrià;;;BSM029;Passeig de Manuel Girona, 77;Barcelona;8;Barcelona;6;cotxe i moto;POINT (2.128751 41.392246)
Restaurant Sol i vi;RESTAURANT;semiRAPID i NORMAL;MENNEKES.F+Schuko+J1772;4140167;175702;Restaurant Sol i vi;;;;Carretera de Sant Sadurní d'Anoia a Vilafranca del Penedès, km 4;Barcelona;8;Subirats;2;cotxe i moto;POINT (1.75702 41.40167)
;;semiRAPID;2xMENNEKES.F + 2xSchuko;415858;217639;EdRsR Fenie Palau de Plegamans i Solità (AC22kW);22;AC;;Carrer de Folch i Torres, 37;Barcelona;8;Palau de Plegamans i Solità;2;cotxe;POINT (2.17639 41.5858)
Aparcament Abart;APARCAMENT PUBLIC;NORMAL;Schuko;41396271;2149651;111 Aparcament Abart;;;;Travessera de Gràcia, 53-65;Barcelona;8;Barcelona;1;cotxe i moto;POINT (2.149651 41.396271)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;Schuko;4142077;2151564;B:SM 43 - Salvador Allende;;;BSM040;Plaça de Salvador Allende;Barcelona;8;Barcelona;4;cotxe;POINT (2.151564 41.42077)
B:SM Serveis Municipals;APARCAMENT PUBLIC;NORMAL;Schuko;41384087;2142749;B:SM 44 - Tarradelles-Nicaragua;;;BAMSA014;Avinguda  de Josep Tarradellas, 46;Barcelona;8;Barcelona;1;cotxe;POINT (2.142749 41.384087)
Ajuntament Avià;VIA PUBLICA;semiRAPID;MENNEKES.F;4207696;182252;EdRsR Avià (AC22kW);22;AC;;Avinguda Pau Casals,22;Barcelona;8;Àvia;1;cotxe i moto;POINT (1.82252 42.07696)
AEB;VIA PUBLICA;NORMAL;Schuko;41394203;2123794;93 AjBCN-ETRA-COBRA;;;LC014;Carrer d'Osi, 4;Barcelona;8;Barcelona;2;cotxe i moto;POINT (2.123794 41.394203)
Ajuntament de Lloret de Mar;VIA PUBLICA;semiRAPID i NORMAL;MENNEKES.F+Schuko;41698525;28477586;Ajuntament de Lloret de Mar;;;;Passeig d'Agustí Font,2, Ajuntament;Girona;17;Lloret de Mar;2;cotxe i moto;POINT (2.8477586 41.698525)
;;semiRAPID;2xMENNEKES.F;4175275;187231;EdRsR Sant Fruitós del Bages 2 (AC22kW);22;AC;;Avinguda Bertrand i Serra, 22;Barcelona;8;Sant Fruitós de Bages;;;POINT (1.8723099999999997 41.75275)
BIMSA;VIA PUBLICA;RAPID;CCS Combo2+ChadeMO+MENNEKES.M;41388226;2169769;(eTAXI)EdRR-Passeig de Gràcia-Casp (DC50kW AC43kW);50;AC-DC;FC010;Passeig de Gràcia, 3;Barcelona;8;Barcelona;1;cotxe;POINT (2.169769 41.388226)
Institut Català d'Energia i Ajuntament de Figueres;;RAPID;CCS Combo2+ChadeMO+MENNEKES.M;4225973;29666;EdRR Figueres 1 Creu de la mà (DC50kW AC43kW) PIRVEC-18;50;AC-DC;PIRVEC-18;Carrer Nou, 164;Girona;17;Figueres;2;;POINT (2.9666 42.25973)
Bassols energia;APARCAMENT PUBLIC;NORMAL;MENNEKES.F+Schuko;4218294;248422;Aparcament Centre;;;;Carrer Bisbe Ramon Guillamet, 7;Girona;17;Olot;2;cotxe i moto;POINT (2.48422 42.18294)
Valencia 2013;APARCAMENT PUBLIC;NORMAL;Schuko;41392466102;2163201936;Valencia 2013;;;;Carrer València, 270;Barcelona;8;Barcelona;1;;POINT (2.163201936 41.392466102)
Gasolis Rivera;ESTACIÓ DE SERVEI;NORMAL;MENNEKES.F+Schuko;4162463;217126;Gasoils Rovira;;;;Carrer de Josep Calvo, 7;Barcelona;8;Caldes de Montbui;2;cotxe i moto;POINT (2.17126 41.62463)
